gap_id,dataset_name,field_name,data_type,unit_or_crs,required,authority_requirement,provisional_allowed,validation_rule,missing_behavior,downstream_use
GAP-BOUNDARY-001,scope_boundary,scope_id,string,none,yes,organizer_or_planning_authority,yes,三层ID唯一,保持missing,范围关联
GAP-BOUNDARY-001,scope_boundary,geometry,polygon_or_multipolygon,declared_crs,yes,organizer_or_cleared_attachment,yes,有效拓扑且无自交,禁止正式裁剪,范围裁剪
GAP-BOUNDARY-001,scope_boundary,official_boundary,boolean,none,yes,source_review,yes,provisional必须为false,禁止升级,证据边界
GAP-BOUNDARY-001,scope_boundary,area_sqm,number,sqm,yes,derived_from_approved_geometry,no,EPSG4548重算并与公告约面积比较,保持unknown,面积复算
GAP-BOUNDARY-002,key_area,key_area_id,string,none,yes,organizer_or_planning_authority,yes,三个受控ID唯一,保持missing,重点区关联
GAP-BOUNDARY-002,key_area,geometry,polygon_or_multipolygon,declared_crs,yes,organizer_or_cleared_attachment,yes,有效拓扑且位于适用总体范围,禁止正式详细设计,重点区裁剪
GAP-CONTROL-001,planning_control,control_unit_id,string,none,yes,planning_authority,no,唯一且可回指图则,保持missing,控规关联
GAP-CONTROL-001,planning_control,far_max,number,ratio,conditional,planning_authority,no,非负且记录适用地块与版本,不得推定,开发强度
GAP-CONTROL-001,planning_control,height_max_m,number,m,conditional,planning_authority,no,非负且区分绝对/分区上限,不得推定,高度控制
GAP-CONTROL-001,planning_control,density_max_pct,number,percent,conditional,planning_authority,no,0到100,不得推定,建筑密度
GAP-CONTROL-001,planning_control,green_min_pct,number,percent,conditional,planning_authority,no,0到100,不得推定,绿地率
GAP-CONTROL-001,planning_control,setback_or_line_ref,string,none,conditional,planning_authority,no,必须回指正式图则或条款,不得推定,退线与控制线
GAP-ROAD-001,road_control,road_id,string,none,yes,planning_or_transport_authority,yes,唯一且跨表一致,保持missing,道路关联
GAP-ROAD-001,road_control,redline_geometry,line_or_polygon,declared_crs,yes,planning_authority,yes,拓扑有效且来源版本明确,仅可试跑,道路红线
GAP-ROAD-001,road_control,road_class,enum,none,yes,planning_or_transport_authority,yes,受控分类映射,标注unknown,路网等级
GAP-ROAD-001,road_control,section_width_m,number,m,conditional,official_section,no,大于0且回指断面,不得编造,断面设计依据
GAP-PARCEL-001,parcel,parcel_id,string,none,yes,cleared_cadastral,none,唯一且稳定,保持missing,宗地关联
GAP-PARCEL-001,parcel,geometry,polygon,declared_crs,yes,cleared_cadastral,none,无重叠并记录有效期,禁止拆改留判断,实施单元
GAP-PARCEL-001,parcel,ownership_status,enum,none,yes,cleared_owner_record,none,受控状态且不得公开敏感信息,保持restricted,实施可行性
GAP-BUILDING-001,building,building_id,string,none,yes,official_survey_or_cleared_mapping,yes,唯一且稳定,保持missing,建筑关联
GAP-BUILDING-001,building,geometry,polygon,declared_crs,yes,official_survey_or_cleared_mapping,yes,拓扑有效并记录测量日期,仅可覆盖率试跑,现状建筑底图
GAP-BUILDING-001,building,use_height_built_year_condition,object,mixed,conditional,official_survey_or_verified_public,no,分别记录各字段来源和置信度,不得推定或判拆改留,现状诊断
GAP-HERITAGE-001,heritage_control,heritage_id,string,none,yes,cultural_heritage_authority,no,唯一且回指公布批次,保持missing,文保关联
GAP-HERITAGE-001,heritage_control,control_type,enum,none,yes,cultural_heritage_authority,no,保护范围_一类_五类等受控值,仅保存文字,管控分类
GAP-HERITAGE-001,heritage_control,geometry,polygon_or_multipolygon,declared_crs,yes,official_drawing_or_cleared_gis,no,不得由网页示意图擅自矢量化,禁止空间结论,约束叠加
GAP-HERITAGE-001,heritage_control,legal_text,string,none,yes,cultural_heritage_authority,no,逐字引用受版权限制只存定位与摘要,可作文字约束,合规审查
GAP-MUNICIPAL-001,municipal_asset,asset_id,string,none,yes,cleared_authority,none,唯一且按安全级别脱敏,保持restricted,市政关联
GAP-MUNICIPAL-001,municipal_asset,asset_type_and_capacity,mixed,mixed,yes,cleared_special_plan,none,单位和设计工况明确,不得推定,承载判断
GAP-MUNICIPAL-001,municipal_asset,fire_flood_sponge_constraints,object,mixed,yes,competent_authority,none,条款_图件_版本可追溯,仅列缺口,安全约束
GAP-SERVICE-001,public_service,facility_id,string,none,yes,competent_authority,yes,唯一并去重,保持missing,设施关联
GAP-SERVICE-001,public_service,facility_type,enum,none,yes,official_catalog_or_verified_mapping,yes,受控分类,标注unknown,设施分类
GAP-SERVICE-001,public_service,geometry,point_or_polygon,declared_crs,yes,official_or_verified_public,yes,位置精度分级,仅可目录试跑,服务覆盖
GAP-SERVICE-001,public_service,capacity_and_unit,mixed,mixed,conditional,competent_authority,no,容量时点和单位完整,不得编造,供需分析
